director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Kevin Bray,Dwayne Johnson,Ashley Scott,Michael Bowen,Action Crime,walking tall,Kevin Bray Dwayne Johnson Ashley Scott Michael Bowen Action Crime
Robert Zemeckis,Tom Hanks,Siobhan Fallon Hogan,Sam Anderson,Comedy Drama,forrest gump,Robert Zemeckis Tom Hanks Siobhan Fallon Hogan Sam Anderson Comedy Drama
Tim Hill,Jesse McCartney,Beth Riesgraf,Matthew Gray Gubler,Animation Comedy Family Fantasy Music,alvin and the chipmunks,Tim Hill Jesse McCartney Beth Riesgraf Matthew Gray Gubler Animation Comedy Family Fantasy Music
Jay Roach,Robert De Niro,Blythe Danner,Teri Polo,Comedy,meet the parents,Jay Roach Robert De Niro Blythe Danner Teri Polo Comedy
Mike Gabriel,Christian Bale,Frank Welker,Irene Bedard,Adventure Animation Drama Family History Musical Romance,pocahontas,Mike Gabriel Christian Bale Frank Welker Irene Bedard Adventure Animation Drama Family History Musical Romance
Richard Donner,Marlon Brando,Margot Kidder,Ned Beatty,Action Adventure Drama Romance Sci-Fi,superman,Richard Donner Marlon Brando Margot Kidder Ned Beatty Action Adventure Drama Romance Sci-Fi
Tom Shadyac,Jada Pinkett Smith,James Coburn,Dave Chappelle,Comedy Romance Sci-Fi,the nutty professor,Tom Shadyac Jada Pinkett Smith James Coburn Dave Chappelle Comedy Romance Sci-Fi
Andy Tennant,Will Smith,Michael Rapaport,Kevin Sussman,Comedy Romance,hitch,Andy Tennant Will Smith Michael Rapaport Kevin Sussman Comedy Romance
Sam Weisman,Brendan Fraser,Abraham Benrubi,Holland Taylor,Action Adventure Comedy Family Romance,george of the jungle,Sam Weisman Brendan Fraser Abraham Benrubi Holland Taylor Action Adventure Comedy Family Romance
Jesse Dylan,Alyson Hannigan,Thomas Ian Nicholas,Fred Willard,Comedy Romance,american wedding,Jesse Dylan Alyson Hannigan Thomas Ian Nicholas Fred Willard Comedy Romance
Paul Greengrass,Tom Hanks,Chris Mulkey,Michael Chernus,Biography Drama Thriller,captain phillips,Paul Greengrass Tom Hanks Chris Mulkey Michael Chernus Biography Drama Thriller
Shawn Levy,Mila Kunis,James Franco,Steve Carell,Comedy Crime Romance Thriller,date night,Shawn Levy Mila Kunis James Franco Steve Carell Comedy Crime Romance Thriller
Brad Silberling,Eric Idle,Fred Rogers,Cathy Moriarty,Comedy Family Fantasy,casper,Brad Silberling Eric Idle Fred Rogers Cathy Moriarty Comedy Family Fantasy
Antoine Fuqua,Denzel Washington,Chloë Grace Moretz,James Wilcox,Action Crime Thriller,the equalizer,Antoine Fuqua Denzel Washington Chloë Grace Moretz James Wilcox Action Crime Thriller
Wayne Wang,Bob Hoskins,Frances Conroy,Natasha Richardson,Comedy Drama Romance,maid in manhattan,Wayne Wang Bob Hoskins Frances Conroy Natasha Richardson Comedy Drama Romance
Tony Scott,Denzel Washington,Viggo Mortensen,Ricky Schroder,Action Drama Thriller War,crimson tide,Tony Scott Denzel Washington Viggo Mortensen Ricky Schroder Action Drama Thriller War
Gabriele Muccino,Will Smith,Kurt Fuller,James Karen,Biography Drama,the pursuit of happyness,Gabriele Muccino Will Smith Kurt Fuller James Karen Biography Drama
Robert Schwentke,Erika Christensen,Michael Irby,Haley Ramm,Drama Mystery Thriller,flightplan,Robert Schwentke Erika Christensen Michael Irby Haley Ramm Drama Mystery Thriller
Barry Levinson,Demi Moore,Dylan Baker,Roma Maffia,Drama Thriller,disclosure,Barry Levinson Demi Moore Dylan Baker Roma Maffia Drama Thriller
Brad Silberling,Nicolas Cage,Andre Braugher,Colm Feore,Drama Fantasy Romance,city of angels,Brad Silberling Nicolas Cage Andre Braugher Colm Feore Drama Fantasy Romance
Quentin Tarantino,David Carradine,Vivica A. Fox,Chiaki Kuriyama,Action,kill bill: vol. 1,Quentin Tarantino David Carradine Vivica A. Fox Chiaki Kuriyama Action
Frank Oz,Robert Downey Jr.,Adam Alexi-Malle,Jamie Kennedy,Comedy,bowfinger,Frank Oz Robert Downey Jr. Adam Alexi-Malle Jamie Kennedy Comedy
Unknown,Christopher Judge,Don S. Davis,Gary Jones,Action Adventure Drama Sci-Fi,stargate sg-1            ,Unknown Christopher Judge Don S. Davis Gary Jones Action Adventure Drama Sci-Fi
Quentin Tarantino,Vivica A. Fox,Michael Parks,Michael Bowen,Action Crime Drama Thriller,kill bill: vol. 2,Quentin Tarantino Vivica A. Fox Michael Parks Michael Bowen Action Crime Drama Thriller
Andrey Konchalovskiy,Sylvester Stallone,Jack Palance,Brion James,Action Comedy Crime Thriller,tango & cash,Andrey Konchalovskiy Sylvester Stallone Jack Palance Brion James Action Comedy Crime Thriller
Robert Zemeckis,Bruce Willis,Meryl Streep,Isabella Rossellini,Comedy Fantasy Horror,death becomes her,Robert Zemeckis Bruce Willis Meryl Streep Isabella Rossellini Comedy Fantasy Horror
Tom Dey,Xander Berkeley,Jason Connery,Kate Luyben,Action Adventure Comedy Western,shanghai noon,Tom Dey Xander Berkeley Jason Connery Kate Luyben Action Adventure Comedy Western
Stuart Baird,Oliver Platt,Joe Morton,J.T. Walsh,Action Adventure Thriller,executive decision,Stuart Baird Oliver Platt Joe Morton J.T. Walsh Action Adventure Thriller
Mark Waters,Madeline Carroll,Ophelia Lovibond,Philip Baker Hall,Comedy Family Fantasy,mr. popper's penguins,Mark Waters Madeline Carroll Ophelia Lovibond Philip Baker Hall Comedy Family Fantasy
Rob Minkoff,Jet Li,Thomas McDonell,Michael Angarano,Action Adventure Fantasy,the forbidden kingdom,Rob Minkoff Jet Li Thomas McDonell Michael Angarano Action Adventure Fantasy
Jimmy Hayward,Amy Poehler,Carlos Ponce,Dan Fogler,Adventure Animation Comedy Family,free birds,Jimmy Hayward Amy Poehler Carlos Ponce Dan Fogler Adventure Animation Comedy Family
David Fincher,Charles S. Dutton,Holt McCallany,Paul McGann,Action Horror Sci-Fi,alien 3,David Fincher Charles S. Dutton Holt McCallany Paul McGann Action Horror Sci-Fi
Alan Parker,Andrea Corr,Jimmy Nail,Peter Polycarpou,Biography Drama History Musical,evita,Alan Parker Andrea Corr Jimmy Nail Peter Polycarpou Biography Drama History Musical
John Frankenheimer,Robert De Niro,Natascha McElhone,Michael Lonsdale,Action Adventure Crime Thriller,ronin,John Frankenheimer Robert De Niro Natascha McElhone Michael Lonsdale Action Adventure Crime Thriller
Stephen Hopkins,Tom Wilkinson,Bernard Hill,Om Puri,Adventure Drama Horror Thriller,the ghost and the darkness,Stephen Hopkins Tom Wilkinson Bernard Hill Om Puri Adventure Drama Horror Thriller
Paul King,Julie Walters,Matt Lucas,Sally Hawkins,Animation Comedy Family Fantasy,paddington,Paul King Julie Walters Matt Lucas Sally Hawkins Animation Comedy Family Fantasy
William Friedkin,Connie Nielsen,Jenna Boyd,Rex Linn,Action Crime Drama Thriller,the hunted,William Friedkin Connie Nielsen Jenna Boyd Rex Linn Action Crime Drama Thriller
Jon Turteltaub,Anthony Hopkins,Maura Tierney,John Ashton,Drama Thriller,instinct,Jon Turteltaub Anthony Hopkins Maura Tierney John Ashton Drama Thriller
Bobby Farrelly,Matt Damon,Terence Bernie Hines,Seymour Cassel,Comedy,stuck on you,Bobby Farrelly Matt Damon Terence Bernie Hines Seymour Cassel Comedy
Kent Alterman,Will Ferrell,Maura Tierney,Matt Walsh,Comedy Sport,semi-pro,Kent Alterman Will Ferrell Maura Tierney Matt Walsh Comedy Sport
Peter Lord,Salma Hayek,Russell Tovey,Brian Blessed,Adventure Animation Comedy Family,the pirates! band of misfits,Peter Lord Salma Hayek Russell Tovey Brian Blessed Adventure Animation Comedy Family
Clint Eastwood,Angelina Jolie Pitt,Michael Kelly,Colm Feore,Crime Drama Mystery Thriller,changeling,Clint Eastwood Angelina Jolie Pitt Michael Kelly Colm Feore Crime Drama Mystery Thriller
Andrew Davis,Keanu Reeves,Morgan Freeman,Kevin Dunn,Action Drama Sci-Fi Thriller,chain reaction,Andrew Davis Keanu Reeves Morgan Freeman Kevin Dunn Action Drama Sci-Fi Thriller
Tony Scott,Robert De Niro,Kurt Fuller,Ellen Barkin,Action Drama Sport Thriller,the fan,Tony Scott Robert De Niro Kurt Fuller Ellen Barkin Action Drama Sport Thriller
Joel Schumacher,Gerard Butler,Minnie Driver,Miranda Richardson,Drama Musical Romance Thriller,the phantom of the opera,Joel Schumacher Gerard Butler Minnie Driver Miranda Richardson Drama Musical Romance Thriller
Shekhar Kapur,Eddie Redmayne,Abbie Cornish,Jordi Mollà,Biography Drama History War,elizabeth: the golden age,Shekhar Kapur Eddie Redmayne Abbie Cornish Jordi Mollà Biography Drama History War
Karyn Kusama,Charlize Theron,Sophie Okonedo,Paterson Joseph,Action Sci-Fi,æon flux,Karyn Kusama Charlize Theron Sophie Okonedo Paterson Joseph Action Sci-Fi
Ron Maxwell,Billy Campbell,Bruce Boxleitner,John Castle,Drama History War,gods and generals,Ron Maxwell Billy Campbell Bruce Boxleitner John Castle Drama History War
Robert Butler,Hector Elizondo,Lauren Holly,Jeffrey DeMunn,Action Thriller,turbulence,Robert Butler Hector Elizondo Lauren Holly Jeffrey DeMunn Action Thriller
Karey Kirkpatrick,Stephen Root,Ronny Cox,Richard Schiff,Comedy Drama Family Fantasy,imagine that,Karey Kirkpatrick Stephen Root Ronny Cox Richard Schiff Comedy Drama Family Fantasy
James Bobin,Ty Burrell,Tina Fey,Hugh Bonneville,Adventure Comedy Crime Family Musical,muppets most wanted,James Bobin Ty Burrell Tina Fey Hugh Bonneville Adventure Comedy Crime Family Musical
Jonathan Frakes,Sophia Myles,Philip Winchester,Brady Corbet,Action Adventure Comedy Family Sci-Fi,thunderbirds,Jonathan Frakes Sophia Myles Philip Winchester Brady Corbet Action Adventure Comedy Family Sci-Fi
Steve Antin,Eric Dane,Peter Gallagher,David Walton,Drama Music Musical Romance,burlesque,Steve Antin Eric Dane Peter Gallagher David Walton Drama Music Musical Romance
Jean-Pierre Jeunet,Denis Lavant,André Dussollier,Albert Dupontel,Drama Mystery Romance War,a very long engagement,Jean-Pierre Jeunet Denis Lavant André Dussollier Albert Dupontel Drama Mystery Romance War
Jim Gillespie,Sylvester Stallone,Tom Berenger,Charles S. Dutton,Crime Horror Mystery Thriller,eye see you,Jim Gillespie Sylvester Stallone Tom Berenger Charles S. Dutton Crime Horror Mystery Thriller
Guillermo del Toro,Norman Reedus,Thomas Kretschmann,Tony Curran,Action Horror Sci-Fi Thriller,blade ii,Guillermo del Toro Norman Reedus Thomas Kretschmann Tony Curran Action Horror Sci-Fi Thriller
Gabriele Muccino,Will Smith,Rosario Dawson,Madison Pettis,Drama Romance,seven pounds,Gabriele Muccino Will Smith Rosario Dawson Madison Pettis Drama Romance
Walter Hill,Sylvester Stallone,Jason Momoa,Jon Seda,Action Thriller,bullet to the head,Walter Hill Sylvester Stallone Jason Momoa Jon Seda Action Thriller
Francis Ford Coppola,Al Pacino,Joe Mantegna,Bridget Fonda,Crime Drama,the godfather: part iii,Francis Ford Coppola Al Pacino Joe Mantegna Bridget Fonda Crime Drama
Cameron Crowe,Orlando Bloom,Kirsten Dunst,Judy Greer,Comedy Drama Romance,elizabethtown,Cameron Crowe Orlando Bloom Kirsten Dunst Judy Greer Comedy Drama Romance
Anthony Russo,Todd Stashwick,Billy Gardell,Amanda Detmer,Comedy Romance,"you, me and dupree",Anthony Russo Todd Stashwick Billy Gardell Amanda Detmer Comedy Romance
Richard Lester,Margot Kidder,Ned Beatty,Jackie Cooper,Action Adventure Romance Sci-Fi,superman ii,Richard Lester Margot Kidder Ned Beatty Jackie Cooper Action Adventure Romance Sci-Fi
Martin Brest,Todd Giebenhain,Lenny Venito,David Backus,Comedy Crime Romance,gigli,Martin Brest Todd Giebenhain Lenny Venito David Backus Comedy Crime Romance
Steven Zaillian,Kate Winslet,Anthony Hopkins,Kevin Dunn,Drama Thriller,all the king's men,Steven Zaillian Kate Winslet Anthony Hopkins Kevin Dunn Drama Thriller
John Singleton,Christian Bale,Vanessa Williams,Daniel von Bargen,Action Crime Thriller,shaft,John Singleton Christian Bale Vanessa Williams Daniel von Bargen Action Crime Thriller
Don Bluth,Kirsten Dunst,Kelsey Grammer,Bernadette Peters,Adventure Animation Drama Family Fantasy Musical Mystery Romance,anastasia,Don Bluth Kirsten Dunst Kelsey Grammer Bernadette Peters Adventure Animation Drama Family Fantasy Musical Mystery Romance
Baz Luhrmann,Jim Broadbent,Kylie Minogue,Richard Roxburgh,Drama Musical Romance,moulin rouge!,Baz Luhrmann Jim Broadbent Kylie Minogue Richard Roxburgh Drama Musical Romance
Harold Becker,Steve Buscemi,Teri Polo,Matt O'Leary,Crime Mystery Thriller,domestic disturbance,Harold Becker Steve Buscemi Teri Polo Matt O'Leary Crime Mystery Thriller
Scott Cooper,Johnny Depp,Benedict Cumberbatch,Adam Scott,Biography Crime Drama,black mass,Scott Cooper Johnny Depp Benedict Cumberbatch Adam Scott Biography Crime Drama
Clint Eastwood,Paul Walker,Chris Bauer,Tom McCarthy,Drama History War,flags of our fathers,Clint Eastwood Paul Walker Chris Bauer Tom McCarthy Drama History War
F. Gary Gray,Gerard Butler,Leslie Bibb,Michael Kelly,Crime Drama Thriller,law abiding citizen,F. Gary Gray Gerard Butler Leslie Bibb Michael Kelly Crime Drama Thriller
Robert Rodriguez,Quentin Tarantino,Rosario Dawson,Zoë Bell,Action Horror Thriller,grindhouse,Robert Rodriguez Quentin Tarantino Rosario Dawson Zoë Bell Action Horror Thriller
Jonathan Demme,Oprah Winfrey,Kimberly Elise,Hill Harper,Drama History Horror,beloved,Jonathan Demme Oprah Winfrey Kimberly Elise Hill Harper Drama History Horror
Curtis Hanson,Robert Downey Jr.,Robert Duvall,Kelvin Han Yee,Drama Romance Sport,lucky you,Curtis Hanson Robert Downey Jr. Robert Duvall Kelvin Han Yee Drama Romance Sport
Steven Spielberg,Leonardo DiCaprio,Tom Hanks,Jennifer Garner,Biography Crime Drama,catch me if you can,Steven Spielberg Leonardo DiCaprio Tom Hanks Jennifer Garner Biography Crime Drama
Kathryn Bigelow,Jennifer Ehle,Harold Perrineau,Parker Sawyers,Drama History Thriller,zero dark thirty,Kathryn Bigelow Jennifer Ehle Harold Perrineau Parker Sawyers Drama History Thriller
Peyton Reed,Jon Favreau,John Michael Higgins,Ann-Margret,Comedy Drama Romance,the break-up,Peyton Reed Jon Favreau John Michael Higgins Ann-Margret Comedy Drama Romance
Phyllida Lloyd,Colin Firth,Meryl Streep,Julie Walters,Comedy Family Musical Romance,mamma mia!,Phyllida Lloyd Colin Firth Meryl Streep Julie Walters Comedy Family Musical Romance
Garry Marshall,Bradley Cooper,Taylor Lautner,Anne Hathaway,Comedy Romance,valentine's day,Garry Marshall Bradley Cooper Taylor Lautner Anne Hathaway Comedy Romance
Jay Chandrasekhar,Alice Greczyn,Jessica Simpson,Michael Weston,Action Adventure Comedy,the dukes of hazzard,Jay Chandrasekhar Alice Greczyn Jessica Simpson Michael Weston Action Adventure Comedy
Terrence Malick,Nick Stahl,Miranda Otto,Dash Mihok,Drama War,the thin red line,Terrence Malick Nick Stahl Miranda Otto Dash Mihok Drama War
David Dobkin,Ryan Reynolds,Olivia Wilde,Mircea Monroe,Comedy Fantasy,the change-up,David Dobkin Ryan Reynolds Olivia Wilde Mircea Monroe Comedy Fantasy
Milos Forman,Matt Price,Gerry Becker,Tom Dreesen,Biography Comedy Drama,man on the moon,Milos Forman Matt Price Gerry Becker Tom Dreesen Biography Comedy Drama
Martin Scorsese,Robert De Niro,Don Rickles,Kevin Pollak,Biography Crime Drama,casino,Martin Scorsese Robert De Niro Don Rickles Kevin Pollak Biography Crime Drama
Pierre Morel,Kasia Smutniak,Amber Rose Revah,Rebecca Dayan,Action Thriller,from paris with love,Pierre Morel Kasia Smutniak Amber Rose Revah Rebecca Dayan Action Thriller
Paul Hunter,Jaime King,Mako,Victoria Smurfit,Action Comedy Fantasy,bulletproof monk,Paul Hunter Jaime King Mako Victoria Smurfit Action Comedy Fantasy
Bobby Farrelly,Robert Forster,Tony Cox,Rob Moran,Comedy,"me, myself & irene",Bobby Farrelly Robert Forster Tony Cox Rob Moran Comedy
Steve Oedekerk,Rob Paulsen,Wanda Sykes,Maurice LaMarche,Animation Comedy Family,barnyard,Steve Oedekerk Rob Paulsen Wanda Sykes Maurice LaMarche Animation Comedy Family
John Whitesell,Matthew Broderick,Jorge Garcia,Alia Shawkat,Comedy Family,deck the halls,John Whitesell Matthew Broderick Jorge Garcia Alia Shawkat Comedy Family
Chris Weitz,Robert Pattinson,Kristen Stewart,Taylor Lautner,Adventure Drama Fantasy Romance,the twilight saga: new moon,Chris Weitz Robert Pattinson Kristen Stewart Taylor Lautner Adventure Drama Fantasy Romance
Andrew Adamson,Kathleen Freeman,Chris Miller,Bobby Block,Adventure Animation Comedy Family Fantasy,shrek,Andrew Adamson Kathleen Freeman Chris Miller Bobby Block Adventure Animation Comedy Family Fantasy
George Nolfi,Matt Damon,Michael Kelly,Jon Stewart,Romance Sci-Fi Thriller,the adjustment bureau,George Nolfi Matt Damon Michael Kelly Jon Stewart Romance Sci-Fi Thriller
Kevin Reynolds,Alan Rickman,Morgan Freeman,Michael Wincott,Action Adventure Drama Romance,robin hood: prince of thieves,Kevin Reynolds Alan Rickman Morgan Freeman Michael Wincott Action Adventure Drama Romance
Cameron Crowe,Tom Cruise,Kelly Preston,Bonnie Hunt,Comedy Drama Romance Sport,jerry maguire,Cameron Crowe Tom Cruise Kelly Preston Bonnie Hunt Comedy Drama Romance Sport
Seth MacFarlane,Mila Kunis,Seth MacFarlane,Tom Skerritt,Comedy Fantasy,ted,Seth MacFarlane Mila Kunis Seth MacFarlane Tom Skerritt Comedy Fantasy
James L. Brooks,Lupe Ontiveros,Yeardley Smith,Shirley Knight,Comedy Drama Romance,as good as it gets,James L. Brooks Lupe Ontiveros Yeardley Smith Shirley Knight Comedy Drama Romance
Tom Shadyac,Robin Williams,Philip Seymour Hoffman,Monica Potter,Biography Comedy Drama Romance,patch adams,Tom Shadyac Robin Williams Philip Seymour Hoffman Monica Potter Biography Comedy Drama Romance
Adam McKay,Harrison Ford,Will Ferrell,Steve Carell,Comedy,anchorman 2: the legend continues,Adam McKay Harrison Ford Will Ferrell Steve Carell Comedy
Steven Brill,Steve Buscemi,Adam Sandler,Peter Gallagher,Comedy Romance,mr. deeds,Steven Brill Steve Buscemi Adam Sandler Peter Gallagher Comedy Romance
J.J. Abrams,Joel Courtney,AJ Michalka,Zach Mills,Mystery Sci-Fi Thriller,super 8,J.J. Abrams Joel Courtney AJ Michalka Zach Mills Mystery Sci-Fi Thriller
Steven Soderbergh,Julia Roberts,Albert Finney,Conchata Ferrell,Biography Drama,erin brockovich,Steven Soderbergh Julia Roberts Albert Finney Conchata Ferrell Biography Drama
Donald Petrie,Matthew McConaughey,Adam Goldberg,Thomas Lennon,Comedy Romance,how to lose a guy in 10 days,Donald Petrie Matthew McConaughey Adam Goldberg Thomas Lennon Comedy Romance
Phil Lord,Channing Tatum,Craig Roberts,Amber Stevens West,Action Comedy Crime,22 jump street,Phil Lord Channing Tatum Craig Roberts Amber Stevens West Action Comedy Crime
Neil Jordan,Brad Pitt,Tom Cruise,Kirsten Dunst,Drama Fantasy Horror,interview with the vampire: the vampire chronicles,Neil Jordan Brad Pitt Tom Cruise Kirsten Dunst Drama Fantasy Horror
Peyton Reed,Bradley Cooper,Zooey Deschanel,Danny Masterson,Comedy Romance,yes man,Peyton Reed Bradley Cooper Zooey Deschanel Danny Masterson Comedy Romance
Rawson Marshall Thurber,Dwayne Johnson,Thomas Kretschmann,Megan Park,Action Comedy Crime,central intelligence,Rawson Marshall Thurber Dwayne Johnson Thomas Kretschmann Megan Park Action Comedy Crime
Chris Columbus,Julia Roberts,Liam Aiken,Herbert Russell,Comedy Drama,stepmom,Chris Columbus Julia Roberts Liam Aiken Herbert Russell Comedy Drama
Sean Anders,Will Ferrell,Linda Cardellini,Mark L. Young,Comedy Family,daddy's home,Sean Anders Will Ferrell Linda Cardellini Mark L. Young Comedy Family
Rob Marshall,Johnny Depp,Meryl Streep,Anna Kendrick,Adventure Comedy Drama Fantasy Musical,into the woods,Rob Marshall Johnny Depp Meryl Streep Anna Kendrick Adventure Comedy Drama Fantasy Musical
Spike Lee,Denzel Washington,James Ransone,Peter Gerety,Crime Drama Mystery Thriller,inside man,Spike Lee Denzel Washington James Ransone Peter Gerety Crime Drama Mystery Thriller
Brian Helgeland,Bill Duke,Deborah Kara Unger,William Devane,Action Crime Drama Thriller,payback,Brian Helgeland Bill Duke Deborah Kara Unger William Devane Action Crime Drama Thriller
Frank Marshall,Dylan Walsh,Joe Don Baker,Grant Heslov,Action Adventure Mystery Sci-Fi,congo,Frank Marshall Dylan Walsh Joe Don Baker Grant Heslov Action Adventure Mystery Sci-Fi
Cameron Crowe,Scarlett Johansson,Matt Damon,Stephanie Szostak,Comedy Drama Family,we bought a zoo,Cameron Crowe Scarlett Johansson Matt Damon Stephanie Szostak Comedy Drama Family
Alex Proyas,Nicolas Cage,Ben Mendelsohn,Chandler Canterbury,Drama Mystery Sci-Fi Thriller,knowing,Alex Proyas Nicolas Cage Ben Mendelsohn Chandler Canterbury Drama Mystery Sci-Fi Thriller
Tom Dey,Bradley Cooper,Matthew McConaughey,Zooey Deschanel,Comedy Romance,failure to launch,Tom Dey Bradley Cooper Matthew McConaughey Zooey Deschanel Comedy Romance
Hideo Nakata,Naomi Watts,Gary Cole,Sissy Spacek,Horror Mystery,the ring two,Hideo Nakata Naomi Watts Gary Cole Sissy Spacek Horror Mystery
Glenn Ficarra,Ryan Gosling,Emma Stone,Steve Carell,Comedy Drama Romance,"crazy, stupid, love.",Glenn Ficarra Ryan Gosling Emma Stone Steve Carell Comedy Drama Romance
Peter Hewitt,Bill Murray,Mark Christopher Lawrence,Michael Monks,Animation Comedy Family Fantasy,garfield,Peter Hewitt Bill Murray Mark Christopher Lawrence Michael Monks Animation Comedy Family Fantasy
Joe Roth,Jamie Lee Curtis,Cheech Marin,Jake Busey,Comedy Family,christmas with the kranks,Joe Roth Jamie Lee Curtis Cheech Marin Jake Busey Comedy Family
Bennett Miller,Philip Seymour Hoffman,Robin Wright,Brad Pitt,Biography Drama Sport,moneyball,Bennett Miller Philip Seymour Hoffman Robin Wright Brad Pitt Biography Drama Sport
Wolfgang Petersen,Kevin Spacey,Morgan Freeman,Rene Russo,Action Drama Thriller,outbreak,Wolfgang Petersen Kevin Spacey Morgan Freeman Rene Russo Action Drama Thriller
Jaume Collet-Serra,Liam Neeson,Nate Parker,Scoot McNairy,Action Mystery Thriller,non-stop,Jaume Collet-Serra Liam Neeson Nate Parker Scoot McNairy Action Mystery Thriller
Andy Fickman,Dwayne Johnson,Billy Brown,Tom Everett Scott,Action Adventure Family Fantasy Sci-Fi Thriller,race to witch mountain,Andy Fickman Dwayne Johnson Billy Brown Tom Everett Scott Action Adventure Family Fantasy Sci-Fi Thriller
James McTeigue,Natalie Portman,Eddie Marsan,Rupert Graves,Action Drama Thriller,v for vendetta,James McTeigue Natalie Portman Eddie Marsan Rupert Graves Action Drama Thriller
David Dobkin,Fann Wong,Anna-Louise Plowman,Georgina Chapman,Action Adventure Comedy,shanghai knights,David Dobkin Fann Wong Anna-Louise Plowman Georgina Chapman Action Adventure Comedy
Unknown,Bernard Hill,Gemma Jones,Nicola Walker,Crime Drama,unforgotten            ,Unknown Bernard Hill Gemma Jones Nicola Walker Crime Drama
Matthew O'Callaghan,Will Ferrell,Frank Welker,Alexander Gould,Adventure Animation Comedy Family,curious george,Matthew O'Callaghan Will Ferrell Frank Welker Alexander Gould Adventure Animation Comedy Family
Angela Robinson,Scoot McNairy,Thomas Lennon,Cheryl Hines,Adventure Comedy Family Fantasy Romance Sport,herbie fully loaded,Angela Robinson Scoot McNairy Thomas Lennon Cheryl Hines Adventure Comedy Family Fantasy Romance Sport
Gary Fleder,Oliver Platt,Jennifer Esposito,Conrad Goode,Crime Drama Mystery Thriller,don't say a word,Gary Fleder Oliver Platt Jennifer Esposito Conrad Goode Crime Drama Mystery Thriller
Tommy Wirkola,Jeremy Renner,Derek Mears,Ingrid Bolsø Berdal,Action Fantasy Horror,hansel & gretel: witch hunters,Tommy Wirkola Jeremy Renner Derek Mears Ingrid Bolsø Berdal Action Fantasy Horror
Adrian Lyne,Olivier Martinez,Erik Per Sullivan,Chad Lowe,Drama Thriller,unfaithful,Adrian Lyne Olivier Martinez Erik Per Sullivan Chad Lowe Drama Thriller
D.J. Caruso,Alex Pettyfer,Emily Wickersham,Reuben Langdon,Action Adventure Sci-Fi Thriller,i am number four,D.J. Caruso Alex Pettyfer Emily Wickersham Reuben Langdon Action Adventure Sci-Fi Thriller
Michael Bay,Toby Stephens,James Badge Dale,David Costabile,Action Drama Thriller War,13 hours,Michael Bay Toby Stephens James Badge Dale David Costabile Action Drama Thriller War
Jorge R. Gutiérrez,Channing Tatum,Hector Elizondo,Ana de la Reguera,Adventure Animation Comedy Family Fantasy Romance,the book of life,Jorge R. Gutiérrez Channing Tatum Hector Elizondo Ana de la Reguera Adventure Animation Comedy Family Fantasy Romance
Richard Loncraine,Jimmy Bennett,Harrison Ford,Mary Lynn Rajskub,Crime Thriller,firewall,Richard Loncraine Jimmy Bennett Harrison Ford Mary Lynn Rajskub Crime Thriller
Clint Eastwood,Clint Eastwood,Mark Margolis,Scott Glenn,Action Crime Drama Thriller,absolute power,Clint Eastwood Clint Eastwood Mark Margolis Scott Glenn Action Crime Drama Thriller
Ridley Scott,Viggo Mortensen,Demi Moore,John Michael Higgins,Action Drama War,g.i. jane,Ridley Scott Viggo Mortensen Demi Moore John Michael Higgins Action Drama War
David Fincher,Deborah Kara Unger,Armin Mueller-Stahl,Charles Martinet,Drama Mystery Thriller,the game,David Fincher Deborah Kara Unger Armin Mueller-Stahl Charles Martinet Drama Mystery Thriller
Christophe Gans,Radha Mitchell,Deborah Kara Unger,Alice Krige,Adventure Horror Mystery,silent hill,Christophe Gans Radha Mitchell Deborah Kara Unger Alice Krige Adventure Horror Mystery
Howard Deutch,Keanu Reeves,Jon Favreau,Faizon Love,Comedy Sport,the replacements,Howard Deutch Keanu Reeves Jon Favreau Faizon Love Comedy Sport
Jon Hurwitz,Alyson Hannigan,Dania Ramirez,Natasha Lyonne,Comedy,american reunion,Jon Hurwitz Alyson Hannigan Dania Ramirez Natasha Lyonne Comedy
F. Gary Gray,Kevin Spacey,Michael Cudlitz,Siobhan Fallon Hogan,Action Crime Drama Mystery Thriller,the negotiator,F. Gary Gray Kevin Spacey Michael Cudlitz Siobhan Fallon Hogan Action Crime Drama Mystery Thriller
Steven Quale,Matt Walsh,Alycia Debnam-Carey,Scott Lawrence,Action Thriller,into the storm,Steven Quale Matt Walsh Alycia Debnam-Carey Scott Lawrence Action Thriller
John Landis,Louis Lombardi,Jon Tenney,Gilbert R. Hill,Action Comedy Crime Thriller,beverly hills cop iii,John Landis Louis Lombardi Jon Tenney Gilbert R. Hill Action Comedy Crime Thriller
Joe Dante,Christopher Lee,Robert Picardo,Phoebe Cates,Comedy Fantasy Horror,gremlins 2: the new batch,Joe Dante Christopher Lee Robert Picardo Phoebe Cates Comedy Fantasy Horror
David Dobkin,Robert Downey Jr.,Robert Duvall,Leighton Meester,Crime Drama,the judge,David Dobkin Robert Downey Jr. Robert Duvall Leighton Meester Crime Drama
Mimi Leder,Armin Mueller-Stahl,Holt McCallany,Marcel Iures,Action Thriller,the peacemaker,Mimi Leder Armin Mueller-Stahl Holt McCallany Marcel Iures Action Thriller
Alexander Witt,Milla Jovovich,Thomas Kretschmann,Mike Epps,Action Horror Sci-Fi Thriller,resident evil: apocalypse,Alexander Witt Milla Jovovich Thomas Kretschmann Mike Epps Action Horror Sci-Fi Thriller
